繁體	简体	吴拼	原书转写吴拼	页码
一級	一级	iq ciq	iq ciq	1
一頃	一顷	iq chian	iq chian	1
一沰	一沰	iq toq	iq toq	1
一沰沰	一沰沰	iq toq toq	iq toq toq	1
一到	一到	iq tau	iq tau	1
一到裏	一到里	iq tau li	iq tau li	1
一到來	一到来	iq tau le	iq tau le	1
隨到來	随到来	zei tau le	zei tau le	1
一晌	一晌	iq zaon	iq zaon	1
一晌晌	一晌晌	iq zaon zaon	iq zaon zaon	1
一眼	一眼	iq ngae	iq ngae	1
一眼眼	一眼眼	iq ngae ngae	iq ngae ngae	1
一口鐘	一口钟	iq kheu tson	iq kheu tson	1
一手落	一手落	iq shieu loq	iq shieu loq	1
一節勢	一节势	iq ciq syu	iq ciq syu	1
一生世	一生世	iq san shi	iq san shi	2
一聲響	一声响	iq shin shian	iq shin shian	2
一步樓	一步楼	iq bu leu	iq bu leu	2
一勢眼	一势眼	iq syu ngae	iq syu ngae	2
一勢眼	一势眼	i syu ngae	i syu ngae	2
一勢眼	一势眼	iq sy ngae	iq sy ngae	2
一勢眼	一势眼	i sy ngae	i sy ngae	2
一沰漿	一沰浆	iq toq cian	iq toq cian	2
一排生	一排生	iq ba san	iq ba san	2
挨面排	挨面排	a mi ba	a mi ba	2
一遘晝	一遘昼	iq keu cieu	iq keu cieu	2
一門心思	一门心思	iq men shin sy	iq men shin sy	2
一日到夜	一日到夜	iq gniq tau ya	iq gniq tau ya	2
一手一腳	一手一脚	iq shieu iq ciaq	iq shieu iq ciq	2
一長兩短	一长两短	iq jian lian toe	iq jian lian toe	2
一長二短	一长二短	iq jian gni toe	iq jian gni toe	2
一打一挼	一打一挼	iq tan iq nou	iq tan iq nou	2
一生一世	一生一世	iq san iq shi	iq san iq shi	3
一包一折	一包一折	iq pau iq tsoq	iq pau iq tsoq	3
一包一𢷒	一包一𢷒	iq pau iq jiq	iq pau iq jiq	3
一式一樣	一式一样	iq saq iq yan	iq saq iq yan	3
一色一樣	一色一样	iq saq iq yan	iq saq iq yan	3
一色斯樣	一色斯样	iq saq sy yan	iq saq sy yan	3
做色做號	做色做号	tsou saq tsou ghau	tsou saq tsou ghau	3
一時三刻	一时三刻	iq zy sae khaq	iq zy sae khaq	3
一時裏	一时里	iq zy li	iq zy li	3
一釘一眼	一钉一眼	iq tin iq ngae	iq tin iq ngae	3
一直鼻頭	一直鼻头	iq jiq baq deu	iq jiq baq deu	3
一定不移	一定不移	iq din paq yi	iq din paq yi	3
一轉一回	一转一回	iq tsoe iq wei	iq tsoe iq wei	3
一帶兩便	一带两便	iq ta lian bi	iq ta lian bi	4
一搭一檔	一搭一档	iq taq iq taon	iq taq iq taon	4
一塌括子	一塌括子	iq thaq kuaq tsy	iq thaq kuaq tsy	4
一白籃五斗	一白篮五斗	iq baq lae ng teu	iq baq lae ng teu	4
一報還一報	一报还一报	iq pau wae iq pau	iq pau wae iq pau	4
一退六二五	一退六二五	iq thei loq gni ng	iq thei loq gni ng	4
二五八六	二五八六	gni ng paq loq	gni ng paq loq	4
二五打八六	二五打八六	gni ng tan paq loq	gni ng tan paq loq	4
二五八鳥貓	二五八鸟猫	gni ng paq tiau mae	gni ng paq tiau mae	4
十外	十外	zyuq nga	zoq nga	4
十三點	十三点	zyuq sae ti	zoq sae ti	5
丁獅子	丁狮子	tin sy tsy	tin sy tsy	5
丁硬骨粒	丁硬骨粒	tin ngan kuaq liq	tin ngan kuaq liq	5
廠禮拜	厂礼拜	chian li pa	chian li pa	5
七	七	chiq7	chiq7	5
七頭	七头	chiq deu	chiq deu	5
七月半	七月半	chiq yuq pun	chiq yuq pu	5
七石缸	七石缸	chiq zaq kaon	chiq zaq kaon	5
七簇星	七簇星	chiq tshoq shin	chiq tshoq shin	5
七死八活	七死八活	chiq shi paq waq	chiq shi paq waq	6
七衣八𠡒	七衣八𠡒	chiq i paq tei	chiq i paq tei	6
七講八講	七讲八讲	chiq kaon paq kaon	chiq kaon paq kaon	6
七絞八絞	七绞八绞	chiq gau paq gau	chiq gau paq gau	6
七搭八搭	七搭八搭	chiq taq paq taq	chiq taq paq taq	6
七錯八改	七错八改	chiq tshou paq ke	chiq tshou paq ke	6
七錯八改	七错八改	chiq tshou paq ge	chiq tshou paq ge	6
七纏八纏	七缠八缠	chiq ji paq ji	chiq ji paq ji	6
七蹱八跌	七蹱八跌	chiq tshon paq tiq	chiq tshon paq tiq	6
八貓介	八猫介	paq mae ka	paq mae ka	6
八分形個	八分形个	paq fen yin kou	paq fen yin kou	6
八月十六	八月十六	paq yuq zyuq loq	paq yuq zoq loq	7
人	人	gnin2	gnin2	7
人客	人客	gnin khaq	gnin khaq	7
人案	人案	gnin ei	gnin ei	7
人案頭	人案头	gnin ei deu	gnin ei deu	7
人意	人意	gnin i	gnin i	7
人來風	人来风	gnin le fon	gnin le fon	7
人看人樣	人看人样	gnin khi gnin yan	gnin khi gnin yan	7
兒子	儿子	ng tsy	ng tsy	7
兒囡	儿囡	ng no	ng no	8
兒子囡	儿子囡	ng tsy noe	ng tsy noe	8
九頭蘭	九头兰	cieu deu lae	cieu deu lae	8
幾糟	几糟	ci tsau	ci tsau	8
刁	刁	tiau1	tiau1	8
刁𩍐	刁𩍐	tiau ten	tiau ten	8
