繁體(OpenCC)	原書詞頭	简体	吴拼
之前	之前	之前	tsy zhi
之後	之後	之后	tsy gheu
支光	支光	支光	tsy kuaon
芝麻	芝麻	芝麻	tsy mo
脂麻	脂麻	脂麻	tsy mo
芝麻醬	芝麻醬	芝麻酱	tsy mo cian
梔珠花	梔珠花	栀珠花	tsy tsyu huo
鯔魚	鯔魚	鲻鱼	tsy ng
子	子	子	tsy3
子女	子女	子女	tsy gniu
子蟹	子蟹	子蟹	tsy ha
子蝦	子蝦	子虾	tsy huo
子孫	子孫	子孙	tsy sen
子孔頭	子孔頭	子孔头	tsy khon deu
仔	仔	仔	tsy3
仔潔	仔潔	仔洁	tsy ciq
指末頭	指末頭	指末头	tsy maq deu
指掐	指掐	指掐	tsy khaq
指掐深	指掐深	指掐深	tsy khaq shin
指掐縫道	指掐縫道	指掐缝道	tsy khaq von dau
紙糊頭	紙糊頭	纸糊头	tsy wu deu
紙頭	紙頭	纸头	tsy deu
紙行	紙行	纸行	tsy ghaon
紙襞箱	紙襞箱	纸襞箱	tsy paq shian
紙箔店	紙箔店	纸箔店	tsy boq ti
煮	煮	煮	tsy3
煮下飯	煮下飯	煮下饭	tsy gho vae
紫	紫	紫	tsy3
紫胡萄	紫胡萄	紫胡萄	tsy wu dau
紫菜	紫菜	紫菜	tsy tshe
紫檀	紫檀	紫檀	tsy dae
紫絳紅	紫絳紅	紫绛红	tsy cian ghon
紫藤	紫藤	紫藤	tsy den
紫銅	紫銅	紫铜	tsy don
紫答答	紫答答	紫答答	tsy taq taq
紫竹	紫竹	紫竹	tsy tsoq
紫殼蟹	紫殼蟹	紫壳蟹	tsy khoq ha
紫血	紫血	紫血	tsy shiuq
紫血泡	紫血泡	紫血泡	tsy shiuq phau
痣	痣	痣	tsy5
雌驢	雌驢	雌驴	tshy lu
雌雞胡嚨	雌鷄胡嚨	雌鸡胡咙	tshy ci wu lon
雌老虎	雌老虎	雌老虎	tshy lau fu
次毛	次毛	次毛	tshy mau
刺柴	刺柴	刺柴	tshy za
刺柴條	刺柴條	刺柴条	tshy za diau
刺人	刺人	刺人	tshy gnin
刺戳	刺戳	刺戳	tshy tshoq
廁所間	廁所間	厕所间	tshy so kae
瓷器店	瓷器店	瓷器店	dzy chi ti
慈姑	慈姑	慈姑	dzy ku
飼養員	飼養員	饲养员	dzy yan yu
司必靈	司必靈	司必灵	sy piq lin
司必靈鎖	司必靈鎖	司必灵锁	sy piq lin sou
司的克	司的克	司的克	sy tiq khaq
私房	私房	私房	sy vaon
私章	私章	私章	sy tsaon
私行察訪	私行察訪	私行察访	sy ghaon tshaq faon
私塾	私塾	私塾	sy dzoq
屍骨	屍骨	尸骨	sy kuaq
施肥	施肥	施肥	sy vi
施散米	施散米	施散米	sy sae mi
師父	師父	师父	sy vu
師父徒弟	師父徒弟	师父徒弟	sy vu du di
師爺	師爺	师爷	sy ya
師母	師母	师母	sy meu
斯帶脫	斯帶脱	斯带脱	sy ta thaq
斯文	斯文	斯文	sy ven
斯斯文文	斯斯文文	斯斯文文	sy sy ven ven
絲綿	絲綿	丝绵	sy mi
絲線店	絲綫店	丝线店	sy shi ti
絲流	絲流	丝流	sy lieu
絲行	絲行	丝行	sy ghaon
絲襪	絲襪	丝袜	sy maq
獅子	獅子	狮子	sy tsy
獅子飯盂	獅子飯盂	狮子饭盂	sy tsy vae yu
獅子頭	獅子頭	狮子头	sy tsy deu
獅子狗	獅子狗	狮子狗	sy tsy keu
獅子頭狗	獅子頭狗	狮子头狗	sy tsy deu keu
篩穀	篩穀	筛谷	sy koq
篩穀⿱寨	筛穀⿱寨	筛谷⿱寨	sy koq za
螄螺	螄螺	蛳螺	sy lou
梳	梳	梳	sy3
梳繞繞頭	梳繞繞頭	梳绕绕头	sy gniau gniau deu
梳頭	梳頭	梳头	sy deu
梳頭家生	梳頭家生	梳头家生	sy deu ko san
梳頭鏡箱	梳頭鏡箱	梳头镜箱	sy deu cin shian
四	四	四	sy5
四肢黴落	四肢霉落	四肢霉落	sy tsy mei loq
四面八方	四面八方	四面八方	sy mi paq faon
四點	四點	四点	sy ti
四軒肉	四軒肉	四轩肉	sy shi gnioq
四號	四號	四号	sy ghau
四方的角	四方的角	四方的角	sy faon tiq koq
四平八穩	四平八穩	四平八稳	sy bin paq uen
四明南詞	四明南詞	四明南词	sy min nei dzy
四明文書	四明文書	四明文书	sy min ven syu
四通八達	四通八達	四通八达	sy thon paq daq
四隻眼	四隻眼	四只眼	sy tsaq ngae
四腳蛇	四腳蛇	四脚蛇	sy ciaq dzo
四角框	四角框	四角框	sy koq khuaon
四個	四個	四个	sy goq
四個	四個	四个	sy kou
四日兩頭班	四日兩頭班	四日两头班	sy gniq lian deu pae
四一	四一	四一	sy iq
四十一	四十一	四十一	sy zyuq iq
四二	四二	四二	sy gni
四兩	四兩	四两	sy lian
四三	四三	四三	sy sae
四四	四四	四四	sy sy
四五	四五	四五	sy ng
四六	四六	四六	sy loq
四七	四七	四七	sy chiq
四八	四八	四八	sy paq
四九	四九	四九	sy cieu
四十	四十	四十	sy zyuq
時	時	时	zy2
時○件	時○件	时○件	zy ji
時鮮	時鮮	时鲜	zy shi
時雨	時雨	时雨	zy yu
時道	時道	时道	zy dau
時眼	時眼	时眼	zy ngae
時晌	時晌	时晌	zy zaon
時辰	時辰	时辰	zy yin
時格	時格	时格	zy kaq
時疫病	時疫病	时疫病	zy yuq bin
鋤頭	鋤頭	锄头	zy deu
鰣魚	鰣魚	鲥鱼	zy ng
士	士	士	zy6
士林藍	士林藍	士林蓝	zy lin lae
摩登藍	摩登藍	摩登蓝	mou ten lae
巳	巳	巳	zy6
示字旁	示字旁	示字旁	zy zy baon
仕	仕	仕	zy6
市日	市日	市日	zy gniq
市日頭間	市日頭間	市日头间	zy gniq deu kae
自來火	自來火	自来火	zy le hou
自來水筆	自來水筆	自来水笔	zy le syu piq
自鳴鐘	自鳴鐘	自鸣钟	zy min tson
自從	自從	自从	zy dzon
自說自話	自説自話	自说自话	zy soq zy wo
字	字	字	zy6
字號	字號	字号	zy ghau
字帖	字帖	字帖	zy thiaq
事體	事體	事体	zy thi
柿子	柿子	柿子	zy tsy
柿餅	柿餅	柿饼	zy pin
是	是	是	zy6
是介	是介	是介	zy ka
是介光景	是介光景	是介光景	zy ka kuaon cin
是話	是話	是话	zy wo
是會	是會	是会	zy wei
是只	是只	是只	zy ciq
祠堂	祠堂	祠堂	zy daon
支	支	支	tsyu1
硃紅	朱紅	朱红	tsyu ghon
侏	侏	侏	tsyu1
侏栗	侏栗	侏栗	tsyu liq
炷	炷	炷	tsyu1
珠花	珠花	珠花	tsyu huo
株	株	株	tsyu1
蛛蛛	蛛蛛	蛛蛛	tsyu tsyu
蛛蛛網	蛛蛛網	蛛蛛网	tsyu tsyu maon
蛛蛛網絲	蛛蛛網絲	蛛蛛网丝	tsyu tsyu maon sy
主意	主意	主意	tsyu i
主人家	主人家	主人家	tsyu gnin ko
豬癲病	豬癲病	猪癫病	tsyu ti bin
豬廄間	豬廐間	猪厩间	tsyu ji kae
豬舍	豬舍	猪舍	tsyu so
豬泥	豬泥	猪泥	tsyu gni
豬肝	豬肝	猪肝	tsyu ki
豬腦	豬腦	猪脑	tsyu nau
豬槽	豬槽	猪槽	tsyu zau
豬油	豬油	猪油	tsyu yeu
豬油餡	豬油餡	猪油馅	tsyu yeu ghae
豬油湯糰	豬油湯糰	猪油汤团	tsyu yeu thaon doe
豬玀	豬玀	猪猡	tsyu lou
豬屙	豬屙	猪屙	tsyu ou
豬娘	豬娘	猪娘	tsyu gnian
豬筋	豬筋	猪筋	tsyu cin
豬心	猪心	猪心	tsyu shin
豬血	豬血	猪血	tsyu shiuq
嘴脯	嘴脯	嘴脯	tsyu bu
嘴巴	嘴巴	嘴巴	tsyu po
嘴巴皮	嘴巴皮	嘴巴皮	tsyu po bi
嘴巴都起	嘴巴都起	嘴巴都起	tsyu po tu chi
嘴巴牢	嘴巴牢	嘴巴牢	tsyu po lau
嘴巴噘噘	嘴巴噘噘	嘴巴噘噘	tsyu po ciuq ciuq
嘴巴嘸味道	嘴巴嘸味道	嘴巴呒味道	tsyu po mh mi dau
嘴脣皮	嘴唇皮	嘴唇皮	tsyu zyun bi
嘴革○	嘴革○	嘴革○	tsyu kaq
嘴角瘡	嘴角瘡	嘴角疮	tsyu koq tshaon
制服	制服	制服	tsyu voq
拄	拄	拄	tsyu5
拄鞋	拄鞋	拄鞋	tsyu gha
注	注	注	tsyu5
注意	注意	注意	tsyu i
注注意意	注注意意	注注意意	tsyu tsyu i i
疰車	疰車	疰车	tsyu tsho
疰夏	疰夏	疰夏	tsyu gho
疰浪	疰浪	疰浪	tsyu laon
疰船	疰船	疰船	tsyu zoe
蛀牙	蛀牙	蛀牙	tsyu ngo
鑄○	鑄○	铸○	tsyu5
吹吹泡	吹吹泡	吹吹泡	tshyu tshyu phau
吹牛屄	吹牛屄	吹牛屄	tshyu ngeu pi
吹行	吹行	吹行	tshyu ghaon
處暑	處暑	处暑	tshyu syu
取保	取保	取保	tshyu pau
粢飯	粢飯	粢饭	tshyu vae
粢飯糕	粢飯糕	粢饭糕	tshyu vae kau
除䩩	除䩩	除䩩	dzyu iu
廚房間	廚房間	厨房间	dzyu vaon kae
廚工師父	廚工師父	厨工师父	dzyu kon sy vu
廚工	廚工	厨工	dzyu kon
櫥	櫥	橱	dzyu2
住○	住○	住○	dzyu6
住宅	住宅	住宅	dzyu dzaq
治漏	治漏	治漏	dzyu leu
柱○	柱○	柱○	dzyu6
柱底石	柱底石	柱底石	dzyu ti zaq
滯	滯	滞	dzyu6
滯膯	滯膯	滞膯	dzyu ten
縋	缒	缒	dzyu6
尿	尿	尿	syu1
尿泡泡	尿泡泡	尿泡泡	syu phau phau
尿瓶	尿瓶	尿瓶	syu bin
尿衲布	尿衲布	尿衲布	syu naq pu
尿衲	尿衲	尿衲	syu naq
尿急病	尿急病	尿急病	syu ciq bin
書櫥	書櫥	书橱	syu dzyu
書費	書費	书费	syu fi
書店	書店	书店	syu ti
書包	書包	书包	syu pau
書包架	書包架	书包架	syu pau ko
書架	書架	书架	syu ko
書房	書房	书房	syu vaon
書獨頭	書獨頭	书独头	syu doq deu
書大糊	書大糊	书大糊	syu dou wu
書桌	書桌	书桌	syu tsoq
舒意	舒意	舒意	syu i
舒舒意意	舒舒意意	舒舒意意	syu syu i i
舒☐	舒☐	舒☐	syu the
貰	貰	贳	syu1
貰器店	貰器店	贳器店	syu chi ti
貰屋	貰屋	贳屋	syu oq
水	水	水	syu3
水底工	水底工	水底工	syu ti kon
水裏	水裏	水里	syu li
水雞	水鷄	水鸡	syu ci
水泥	水泥	水泥	syu gni
水門汀	水門汀	水门汀	syu men thin
水泥船	水泥船	水泥船	syu gni zoe
水仙花	水仙花	水仙花	syu shi huo
水菸管	水煙管	水烟管	syu i kun
水葫蘆	水葫蘆	水葫芦	syu wu lu
水鳧鷺	水鳧鷺	水凫鹭	syu wu lu
水渠	水渠	水渠	syu jiu
水牌	水牌	水牌	syu ba
水泡泡	水泡泡	水泡泡	syu phau phau
水稻田	水稻田	水稻田	syu dau di
水老鼠	水老鼠	水老鼠	syu lau tsy
水老鴉	水老鴉	水老鸦	syu lau o
水老菱	水老菱	水老菱	syu lau lin
水草	水草	水草	syu tshau
水溜	水溜	水溜	syu lieu
水溜管	水溜管	水溜管	syu lieu kun
水波浪	水波浪	水波浪	syu pou laon
水果	水果	水果	syu kou
水頭	水頭	水头	syu deu
水痘	水痘	水痘	syu deu
水溝	水溝	水沟	syu keu
水牛	水牛	水牛	syu ngeu
水缸	水缸	水缸	syu kaon
水缸底	水缸底	水缸底	syu kaon ti
水缸腳	水缸腳	水缸脚	syu kaon ciaq
水缸腳	水缸腳	水缸脚	syu kaon cian
水平	水平	水平	syu bin
水明湯	水明湯	水明汤	syu min thaon
水明塘	水明塘	水明塘	syu min daon
水塌窞	水塌窞	水塌窞	syu thaq dei
水窞窞	水窞窞	水窞窞	syu dei dei
水汀	水汀	水汀	syu tin
熱水汀	熱水汀	热水汀	gniq syu tin
水晶油包	水晶油包	水晶油包	syu cin yeu pau
水井	水井	水井	syu cin
水芹	水芹	水芹	syu jin
水筍	水笋	水笋	syu syun
水桶	水桶	水桶	syu don
水搨糕	水搨糕	水搨糕	syu thaq kau
水勺	水勺	水勺	syu zoq
水蜜桃	水蜜桃	水蜜桃	syu miq dau
水缺	水缺	水缺	syu chiuq
水出爛糟	水出爛糟	水出烂糟	syu tshyuq lae tsau
暑假	暑假	暑假	syu ko
如意菜	如意菜	如意菜	zyu i tshe
如話	如話	如话	zyu wo
如心像意	如心像意	如心像意	zyu shin zhian i
豎長闊短	竪長闊短	竖长阔短	zyu jian khuaq toe
豎蜻蜓	竪蜻蜓	竖蜻蜓	zyu chin din
豎屋酒	豎屋酒	竖屋酒	zyu oq cieu
聚頭	聚頭	聚头	zyu deu
聚頭	聚頭	聚头	zyu dei
聚隊	聚隊	聚队	zyu dei
誰儂	誰儂	谁侬	zyu nou
樹	樹	树	zyu6
樹幹	樹幹	树干	zyu ki
樹腦頭	樹腦頭	树脑头	zyu nau deu
樹樁	樹樁	树桩	zyu tsaon
樹丫子	樹丫子	树丫子	zyu o tsy
樹丫杈	樹丫杈	树丫杈	zyu o tsho
樹秧	樹秧	树秧	zyu ian
樹根	樹根	树根	zyu ken
樹葉爿	樹葉爿	树叶爿	zyu yiq bae
屄	屄	屄	pi1
揙	揙	揙	pi1
蝙蝠老鼠	蝙蝠老鼠	蝙蝠老鼠	pi foq lau tsy
蝙蝠	蝙蝠	蝙蝠	pi foq
篦箕	篦箕	篦箕	pi ci
鞭筍	鞭笋	鞭笋	pi syun
邊沿頭	邊沿頭	边沿头	pi yi deu
邊沿	邊沿	边沿	pi yi
邊頭	邊頭	边头	pi deu
邊旁	邊旁	边旁	pi baon
邊門	邊門	边门	pi men
扁尖	扁尖	扁尖	pi ci
扁榨榨	扁榨榨	扁榨榨	pi tso tso
扁得得	扁得得	扁得得	pi taq taq
扁擔	扁擔	扁担	pi tae
扁擔星	扁擔星	扁担星	pi tae shin
扁頭	扁頭	扁头	pi deu
扁豆	扁豆	扁豆	pi deu
扁捏豆	扁捏豆	扁捏豆	pi gniaq deu
秕子	秕子	秕子	pi tsy
鯿魚	鯿魚	鳊鱼	pi ng
變死	變死	变死	pi shi
變戲法	變戲法	变戏法	pi shi faq
變種作怪	變種作怪	变种作怪	pi tson tsoq kua
批	批	批	phi1
批花	批花	批花	phi huo
披風	披風	披风	phi fon
偏舍	偏舍	偏舍	phi so
偏頭	偏頭	偏头	phi deu
偏頭間	偏頭間	偏头间	phi deu kae
偏生	偏生	偏生	phi san
篇	篇	篇	phi1
片	片	片	phi5
屁股	屁股	屁股	phi ku
屁股翹仔	屁股翹仔	屁股翘仔	phi ku chiau tsy
屁股爿	屁股爿	屁股爿	phi ku bae
屁股溝	屁股溝	屁股沟	phi ku keu
屁眼	屁眼	屁眼	phi ngae
屁輕	屁輕	屁轻	phi chin
屁屁輕	屁屁輕	屁屁轻	phi phi chin
屁得斯輕	屁得斯輕	屁得斯轻	phi taq sy chin
屁得爛輕	屁得爛輕	屁得烂轻	phi taq lae chin
屁得爛屙輕	屁得爛屙輕	屁得烂屙轻	phi taq lae ou chin
𠜱	𠜱	𠜱	phi5
𠜱刀	𠜱刀	𠜱刀	phi tau
騙賊柺子	骗賊拐子	骗贼拐子	phi zaq kua tsy
騙子	骗子	骗子	phi tsy
譬如勿得	譬如勿得	譬如勿得	phi zyu vaq taq
譬如	譬如	譬如	phi zyu
譬如勿得	譬如勿得	譬如勿得	phi zy vaq taq
譬如	譬如	譬如	phi zy
皮	皮	皮	bi2
皮頓頓	皮頓頓	皮顿顿	bi ten ten
皮榨榨	皮榨榨	皮榨榨	bi tso tso
皮子麪	皮子麵	皮子面	bi tsy mi
皮靴	皮靴	皮靴	bi shiu
皮大衣	皮大衣	皮大衣	bi da i
皮大王	皮大王	皮大王	bi da waon
皮鞋	皮鞋	皮鞋	bi gha
皮鞋油	皮鞋油	皮鞋油	bi gha yeu
皮包	皮包	皮包	bi pau
皮袍子	皮袍子	皮袍子	bi bau tsy
皮帽	皮帽	皮帽	bi mau
皮老虎	皮老虎	皮老虎	bi lau fu
皮襖	皮襖	皮袄	bi au
皮蛋	皮蛋	皮蛋	bi dae
皮蛋缸	皮蛋缸	皮蛋缸	bi dae kaon
皮箱	皮箱	皮箱	bi shian
皮影戲	皮影戲	皮影戏	bi in shi
皮夾	皮夾	皮夹	bi kaq
肥	肥	肥	bi2
肥皂	肥皂	肥皂	bi zau
肥皂粉	肥皂粉	肥皂粉	bi zau fen
肥料粉	肥料粉	肥料粉	bi liau fen
枇杷	枇杷	枇杷	bi bo
琵琶襟	琵琶襟	琵琶襟	bi bo cin
脾	脾	脾	bi2
蹁	蹁	蹁	bi2
蹁倒	蹁倒	蹁倒	bi tau
蹁腳	蹁腳	蹁脚	bi cian
坒	坒	坒	bi6
坒頭外	坒頭外	坒头外	bi deu nga
便	便	便	bi6
便田價	便田價	便田价	bi di ko
便田穀	便田穀	便田谷	bi di koq
便宜	便宜	便宜	bi gni
便條紙	便條紙	便条纸	bi diau tsy
便菜便飯	便菜便飯	便菜便饭	bi tshe bi vae
便當	便當	便当	bi taon
便客	便客	便客	bi khaq
被面	被面	被面	bi mi
被面子	被面子	被面子	bi mi tsy
被面爿	被面爿	被面爿	bi mi bae
被添	被添	被添	bi thi
被單	被單	被单	bi tae
被鋪	被鋪	被铺	bi phu
被櫃	被櫃	被柜	bi jiu
被花絮	被花絮	被花絮	bi huo shi
被窠	被窠	被窠	bi khou
被頭	被頭	被头	bi deu
被擋頭	被擋頭	被挡头	bi taon deu
被頭擋	被頭擋	被头挡	bi deu taon
被橫頭	被横頭	被横头	bi wan deu
被筒	被筒	被筒	bi don
被夾裏	被夾裏	被夹里	bi kaq li
被甩	被甩	被甩	bi huaq
被笚	被笚	被笚	bi taq
避漏	避漏	避漏	bi leu
辮子	辮子	辫子	bi tsy
辮子尾巴	辮子尾巴	辫子尾巴	bi tsy mi po
辮子尾巴	辮子尾巴	辫子尾巴	bi tsy ng po
鐾	鐾	鐾	bi6
眉眼	眉眼	眉眼	mi ngae
眉頭管	眉頭管	眉头管	mi deu kun
眉頭管蹙攏	眉頭管蹙攏	眉头管蹙拢	mi deu kun tshoq lon
眠	眠	眠	mi2
眠倒	眠倒	眠倒	mi tau
眠鼾	眠鼾	眠鼾	mi he
眠瘡	眠瘡	眠疮	mi tshaon
眠牀	眠牀	眠床	mi zaon
眠牀邊沿	眠牀邊沿	眠床边沿	mi zaon pi yi
眠牀底下	眠牀底下	眠床底下	mi zaon ti gho
眠牀下底	眠牀下底	眠床下底	mi zaon gho ti
眠牀下頭	眠牀下頭	眠床下头	mi zaon gho deu
眠牀下	眠牀下	眠床下	mi zaon gho
棉被	棉被	棉被	mi bi
棉大衣	棉大衣	棉大衣	mi da i
棉鞋	棉鞋	棉鞋	mi gha
棉毛褲	棉毛裤	棉毛裤	mi mau khu
棉毛衫	棉毛衫	棉毛衫	mi mau sae
棉桃	棉桃	棉桃	mi dau
棉襖	棉襖	棉袄	mi au
棉紗線	棉紗綫	棉纱线	mi so shi
棉瓦筒	棉瓦筒	棉瓦筒	mi ngo don
棉花	棉花	棉花	mi huo
棉花絮	棉花絮	棉花絮	mi huo shi
棉兜	棉兜	棉兜	mi teu
綿羊	綿羊	绵羊	mi yan
綿白糖	綿白糖	绵白糖	mi baq daon
彌絲彌縫	彌絲彌縫	弥丝弥缝	mi sy mi von
彌陀芥菜	彌陀芥菜	弥陀芥菜	mi dou ka tshe
彌滿	彌滿	弥满	mi mun
咪○	咪○	咪○	mhi5
咪咪	咪咪	咪咪	mhi mhi
咪咪笑	咪咪笑	咪咪笑	mhi mhi shiau
眯	眯	眯	mhi5
眯覷眼	眯覷眼	眯觑眼	mhi tshyu ngae
眯覷眼	眯覷眼	眯觑眼	mhi chi ngae
眯眯大	眯眯大	眯眯大	mhi mhi dou
眯過眼笑	眯過眼笑	眯过眼笑	mhi kou ngae shiau
𡬍花眼𥉻	𡬍花眼𥉻	𡬍花眼𥉻	mi huo ngae chi
未	未	未	mi6
米	米	米	mi6
米篩	米篩	米筛	mi sy
米字格	米字格	米字格	mi zy kaq
米蛀蟲	米蛀蟲	米蛀虫	mi tsyu dzon
米蟲	米蟲	米虫	mi dzon
米麪	米麵	米面	mi mi
米店	米店	米店	mi ti
米醋	米醋	米醋	mi tshu
米糊	米糊	米糊	mi wu
米棧房	米棧房	米栈房	mi dzae vaon
米酒	米酒	米酒	mi cieu
米甏	米甏	米甏	mi ban
米漿泔水	米漿泔水	米浆泔水	mi cian ki syu
米廠	米廠	米厂	mi chian
米胖	米胖	米胖	mi phaon
米缸	米缸	米缸	mi kaon
米行	米行	米行	mi ghaon
米饅頭	米饅頭	米馒头	mi mun deu
米囤	米囤	米囤	mi den
米飲湯	米飲湯	米饮汤	mi in thaon
米桶	米桶	米桶	mi don
米達尺	米達尺	米达尺	mi daq tshaq
米色	米色	米色	mi saq
免費學堂	免費學堂	免费学堂	mi fi ghoq daon
尾子骨	尾子骨	尾子骨	mi tsy kuaq
