繁體	兼容格式	頁碼
窮家難捨，熟土難離。	jion ko nae so, zoq thu nae li.	345
金窠銀窠，弗如自家草窠。	cin khou gnin khou, vaq zyu zhi ko tshau khou.	345
金窠銀窠，勿如自家草窠。	cin khou gnin khou, vaq zyu zhi ko tshau khou.	345
出門一里，弗如自家屋裏。	tshyuq men iq li, vaq zyu zhi ko oq li.	345
出門一里，勿如自家屋裏。	tshyuq men iq li, vaq zyu zhi ko oq li.	345
打煞狗弗離窠，打煞貓弗離竈。	tan saq keu vaq li khou, tan saq mae vaq li tsau.	345
打煞狗勿離窠，打煞貓勿離竈。	tan saq keu vaq li khou, tan saq mae vaq li tsau.	345
親弗親，家鄉人；甜弗甜，家鄉米。	chin vaq chin, cia shian gnin; di vaq di, cia shian mi.	345
親勿親，家鄉人；甜勿甜，家鄉米。	chin vaq chin, cia shian gnin; di vaq di, cia shian mi.	345
同鄉三分鄰，同姓三分親。	don shian sae fen lin, don shin sae fen chin.	345
月亮是家鄉圓，湯糰是家鄉甜。	yuq lian zy cia shian yu, thaon doe zy cia shian di.	345
走遍天下，弗及寧波江廈。	tseu pi thi gho, vaq jiq gnin pou kaon gho.	345
走遍天下，勿及寧波江廈。	tseu pi thi gho, vaq jiq gnin pou kaon gho.	345
走遍天下，弗及寧波江廈。	tseu pi thi gho, vaq jiq gnin poq kaon gho.	345
走遍天下，勿及寧波江廈。	tseu pi thi gho, vaq jiq gnin poq kaon gho.	345
浙江三佛地，做人活神仙。	ciq kaon sae vaq di, tsou gnin waq zyun shi.	345
走過三關六碼頭，喫過奉化芋艿頭。	tseu kou sae kuae loq mo deu, chioq kou von huo n na deu.	345
天下各省都走過，除了蘇杭算寧波。	thi gho koq san tu tseu kou, dzyu laq su ghaon soe gnin pou.	345
鑽天龍州，遍地徽州，還讓寧波人奔勒前頭。	tsoe thi lon cieu, pi di huei cieu, wa gnian gnin pou gnin pen laq zhi deu.	345
鑽天龍州，遍地徽州，還讓寧波人奔勒前頭。	tsoe thi lon cieu, pi di huei cieu, wa gnian gnin poq gnin pen laq zhi deu.	345
寧波三樣寶：鹹齏菜，墮民嫂，瓦爿打牆永弗倒。	gnin pou sae yan pau: ghae ci tshe, dou min sau, ngo bae tan zhian ion vaq tau.	345
寧波三樣寶：鹹齏菜，墮民嫂，瓦爿打牆永勿倒。	gnin pou sae yan pau: ghae ci tshe, dou min sau, ngo bae tan zhian ion vaq tau.	345
寧波三樣寶：鹹齏菜，墮民嫂，瓦爿打牆永弗倒。	gnin poq sae yan pau: ghae ci tshe, dou min sau, ngo bae tan zhian ion vaq tau.	345
寧波三樣寶：鹹齏菜，墮民嫂，瓦爿打牆永勿倒。	gnin poq sae yan pau: ghae ci tshe, dou min sau, ngo bae tan zhian ion vaq tau.	345
無紹弗成衙，無寧弗成市。	vu zhiau vaq jin ngo, vu gnin vaq jin zy.	345
無紹勿成衙，無寧勿成市。	vu zhiau vaq jin ngo, vu gnin vaq jin zy.	345
無紹弗成衙，無寧弗成市。	wu- zhiau vaq jin ngo, wu- gnin vaq jin zy.	345
無紹勿成衙，無寧勿成市。	wu- zhiau vaq jin ngo, wu- gnin vaq jin zy.	345
寧波熟，一餐粥。	gnin pou zoq, iq tshae tsoq.	345
寧波熟，一餐粥。	gnin poq zoq, iq tshae tsoq.	345
天封塔，十八格，一格亮，一格黑。	thi fon thaq, zyuq paq kaq, iq kaq lian, iq kaq haq.	345
富貴貧賤四個廟，甜酸苦辣五梗橋。	fu kuei bin zhi sy goq miau, di soe khu laq ng kan jiau.	345
