繁體	简体	吴拼	分类	页码
日頭	日头	gniq deu	天文	3
日頭菩	日头菩	gniq deu bu	天文	3
日頭菩薩	日头菩萨	gniq deu bu saq	天文	3
太陽菩薩	太阳菩萨	tha yan bu saq	天文	3
紅猛日頭	红猛日头	ghon man gniq deu	天文	3
黃胖日頭	黄胖日头	waon phaon gniq deu	天文	3
西曬日頭	西晒日头	shi sa gniq deu	天文	3
月亮菩薩	月亮菩萨	yuq lian bu saq	天文	3
太陰菩薩	太阴菩萨	tha in bu saq	天文	3
鵝毛月	鹅毛月	ngou mau yuq	天文	3
七簇星	七簇星	chiq tshoq shin	天文	3
扁擔星	扁担星	pi tae shin	天文	3
稻桶星	稻桶星	dau don shin	天文	3
五更曉	五更晓	ng kan shiau	天文	3
黃昏曉	黄昏晓	waon huen shiau	天文	3
暴	暴	pau5	天文	3
風水	风水	fon syu	天文	4
風潮	风潮	fon jiau	天文	4
燥風水	燥风水	sau fon syu	天文	4
秋汏	秋汏	chieu da	天文	4
鱟	鲎	heu5	天文	4
雨毛絲	雨毛丝	yu mau sy	天文	4
魚鱗斑	鱼鳞斑	ng lin pae	天文	4
野豬頭雲	野猪头云	ya tsyu deu yun	天文	4
過雲雨	过云雨	kou yun yu	天文	4
胭脂紅	胭脂红	i ci ghon	天文	4
霧露	雾露	vu lu	天文	4
霧露	雾露	wu lu	天文	4
雪眼	雪眼	syuq ngae	天文	4
雪子	雪子	syuq tsy	天文	4
爛雪片	烂雪片	lae syuq phi	天文	4
龍光閃	龙光闪	lon kuaon shi	天文	4
落地雷	落地雷	loq di lei	天文	4
連底凍	连底冻	li ti ton	天文	4
成糖	成糖	jin daon	天文	4
成糖	成糖	din daon	天文	4
天家	天家	thi ko	天文	4
地腳印	地脚印	di ciaq in	地理	4
地腳引	地脚引	di ciaq in	地理	4
塢采	坞采	u tshe	地理	5
塢處	坞处	u tshyu	地理	5
塢賽	坞赛	u se	地理	5
塢態	坞态	u the	地理	5
塢湯	坞汤	u thaon	地理	5
塢蕩	坞荡	u daon	地理	5
采	采	tshe3	地理	5
別采	别采	biq tshe	地理	5
別塢采	别坞采	biq u tshe	地理	5
別塢頭	别坞头	biq u deu	地理	5
別塢態	别坞态	biq u the	地理	5
別塢湯	别坞汤	biq u thaon	地理	5
地垟	地垟	di yan	地理	5
地壤	地壤	di gnian	地理	5
田畈	田畈	di pae	地理	5
田頭	田头	di deu	地理	5
鄉下頭	乡下头	shian gho deu	地理	5
窞	窞	dei2	地理	5
水明湯	水明汤	syu min thaon	地理	5
水窞	水窞	syu dei	地理	5
